Kommune,lat,lon
Vik,61.0900,6.5700
Sogndal,61.2290,7.1010
Aurland,60.9100,7.1900
Lærdal,61.1000,7.4700
Årdal,61.2500,7.7000
Luster,61.5300,7.4700
Askvoll,61.3500,5.0700
Fjaler,61.2400,5.2800
Sunnfjord,61.4500,5.9000
Bremanger,61.7700,5.5000
Stad,62.0300,5.1500
Gloppen,61.7700,6.2200
Stryn,61.9000,6.7200
Kristiansund,63.1100,7.7300
Molde,62.7370,7.1600
Ålesund,62.4720,6.1540
Vanylven,62.0000,5.6300
Sande,62.2000,5.5500
Herøy,62.3700,5.6500
Ulstein,62.3500,5.8500
Hareid,62.3700,6.0200
Ørsta,62.2000,6.1200
Stranda,62.3100,6.9400
Sykkylven,62.3900,6.5800
Sula,62.4300,6.1000
Giske,62.5000,6.1000
Vestnes,62.6200,7.0900
Rauma,62.5600,7.6700
Aukra,62.8000,6.9000
Averøy,63.0300,7.5500
Gjemnes,62.9300,7.7300
Tingvoll,62.9100,8.2000
Sunndal,62.6700,8.5600
Surnadal,62.9700,8.7200
Smøla,63.4300,8.0000
Aure,63.0500,8.6000
Volda,62.1470,6.0740
Fjord,62.3000,7.2600
Hustadvika,62.8700,7.1400
Haram,62.6300,6.4000
Trondheim,63.4305,10.3951
Steinkjer,64.0149,11.4954
Namsos,64.4667,11.4950
Frøya,63.7260,8.8270
Osen,64.3000,10.5100
Oppdal,62.5940,9.6900
Rennebu,62.8300,10.0200
Røros,62.5750,11.3800
Holtålen,62.9500,11.2700
Midtre Gauldal,63.0300,10.3000
Melhus,63.3000,10.2800
Skaun,63.2600,10.0700
Malvik,63.4300,10.6800
Selbu,63.2300,11.0400
Tydal,63.0600,11.8700
Meråker,63.4200,11.7400
Stjørdal,63.4700,10.9200
Frosta,63.5900,10.7400
Levanger,63.7460,11.2990
Verdal,63.7930,11.4800
Snåsa,64.2500,12.3800
Lierne,64.4500,13.5900
Røyrvik,64.8900,13.5600
Namsskogan,64.9200,13.1600
Grong,64.4650,12.3150
Høylandet,64.6300,12.3000
Overhalla,64.4900,11.9500
Flatanger,64.4500,10.9500
Leka,65.0900,11.7000
Inderøy,63.8700,11.3000
Indre Fosen,63.5700,10.2800
Heim,63.2000,9.0500
Hitra,63.6000,8.8600
Ørland,63.7000,9.6700
Åfjord,64.0000,10.3000
Orkland,63.3000,9.8000
Nærøysund,64.8600,11.2400
Rindal,63.0500,9.2200
Bodø,67.2800,14.4050
Narvik,68.4380,17.4270
Bindal,65.0900,12.6000
