    (4026, 'Tinn', 59.84, 8.6),
    (4028, 'Kviteseid', 59.36, 8.49),
    (4030, 'Nissedal', 59.17, 8.4),
    (4032, 'Fyresdal', 59.2, 8.12),
    (4034, 'Tokke', 59.48, 8.02),
    (4036, 'Vinje', 59.7, 7.95),
    (4201, 'Risør', 58.72, 9.23),
    (4202, 'Grimstad', 58.34, 8.59),
    (4203, 'Arendal', 58.46, 8.77),
    (4204, 'Kristiansand', 58.146, 7.995),
    (4205, 'Lindesnes', 58.1, 7.3),
    (4206, 'Farsund', 58.095, 6.8),
    (4207, 'Flekkefjord', 58.295, 6.66),
    (4211, 'Gjerstad', 58.88, 9.01),
    (4212, 'Vegårshei', 58.77, 8.8),
    (4213, 'Tvedestrand', 58.62, 8.92),
    (4214, 'Froland', 58.55, 8.6),
    (4215, 'Lillesand', 58.25, 8.38),
    (4216, 'Birkenes', 58.38, 8.17),
    (4217, 'Åmli', 58.8, 8.45),
    (4218, 'Iveland', 58.49, 8.23),
    (4219, 'Evje og Hornnes', 58.585, 7.78),
    (4220, 'Bygland', 58.85, 7.8),
    (4221, 'Valle', 59.21, 7.53),
    (4222, 'Bykle', 59.34, 7.36),
    (4223, 'Vennesla', 58.342, 7.975),
    (4224, 'Åseral', 58.68, 7.35),
    (4225, 'Lyngdal', 58.137, 7.07),
    (4226, 'Hægebostad', 58.33, 7.22),
    (4227, 'Kvinesdal', 58.35, 6.95),
    (4228, 'Sirdal', 58.92, 6.95),
    (1101, 'Eigersund', 58.45, 6.0),
    (1103, 'Stavanger', 58.97, 5.733),
    (1106, 'Haugesund', 59.413, 5.268),
    (1108, 'Sandnes', 58.851, 5.735),
    (1111, 'Sokndal', 58.28, 6.3),
    (1112, 'Lund', 58.45, 6.55),
    (1114, 'Bjerkreim', 58.65, 5.92),
    (1119, 'Hå', 58.6, 5.65),
    (1120, 'Klepp', 58.78, 5.63),
    (1121, 'Time', 58.74, 5.72),
    (1122, 'Gjesdal', 58.78, 5.88),
    (1124, 'Sola', 58.888, 5.652),
    (1127, 'Randaberg', 59.001, 5.615),
    (1130, 'Strand', 59.05, 6.03),
    (1133, 'Hjelmeland', 59.23, 6.18),
    (1134, 'Suldal', 59.45, 6.47),
    (1135, 'Sauda', 59.65, 6.35),
    (1144, 'Kvitsøy', 59.06, 5.41),
    (1145, 'Bokn', 59.23, 5.43),
    (1146, 'Tysvær', 59.42, 5.45),
    (1149, 'Karmøy', 59.28, 5.3),
    (1151, 'Utsira', 59.3, 4.88),
    (1160, 'Vindafjord', 59.55, 5.85),
    (4601, 'Bergen', 60.392, 5.324),
    (4602, 'Kinn', 61.6, 5.1),
    (4611, 'Etne', 59.66, 5.94),
    (4612, 'Sveio', 59.54, 5.36),
    (4613, 'Bømlo', 59.79, 5.18),
    (4614, 'Stord', 59.78, 5.5),
    (4615, 'Fitjar', 59.92, 5.32),
    (4616, 'Tysnes', 60.04, 5.53),
    (4617, 'Kvinnherad', 60.18, 6.0),
    (4618, 'Ullensvang', 60.32, 6.65),
    (4619, 'Eidfjord', 60.42, 7.08),
    (4620, 'Ulvik', 60.57, 6.92),
    (4621, 'Voss', 60.63, 6.42),
    (4622, 'Kvam', 60.38, 6.13),
    (4623, 'Samnanger', 60.37, 5.73),
